               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.022038,           0.0090826,                   0,             0.99568,                   1,               0.995,             0.90396,            0.013161,           0.0050087,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.020854,           0.0093815,                   0,             0.99108,                   1,               0.995,             0.88927,            0.012388,           0.0048512,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018376,           0.0089532,                   0,             0.99085,                   1,               0.995,             0.89631,             0.01353,           0.0048073,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.020343,           0.0095313,                   0,              0.9907,                   1,               0.995,             0.91955,            0.012605,           0.0048169,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.019837,           0.0084777,                   0,             0.99029,                   1,               0.995,             0.89839,             0.01236,           0.0048701,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019135,           0.0098229,                   0,             0.99324,                   1,               0.995,              0.9306,             0.01178,           0.0047531,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.018023,           0.0082066,                   0,             0.99394,                   1,               0.995,              0.9434,            0.011966,           0.0046626,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017217,           0.0080003,                   0,              0.9951,                   1,               0.995,               0.943,            0.010844,           0.0044308,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016969,           0.0079054,                   0,              0.9947,                   1,               0.995,             0.93535,            0.011116,            0.004462,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.015041,           0.0083871,                   0,             0.99482,                   1,               0.995,             0.93989,             0.01083,           0.0044922,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018038,           0.0081429,                   0,             0.99528,                   1,               0.995,             0.94141,            0.010747,           0.0045757,                   0,            0.000496,            0.000496,            0.000496
